kinase,kinase2,cor_cancer,lrt_cancer,eFDR_cancer
ATM,ILK,0.0446066053028103,0.232997437635959,0.721923937359342
ATM,INSR,-0.329090542378773,7.45592442733687,0.0132352941176135
ATM,INSRR,-0.343088368360035,7.64916769944,0.0129353233830512
ATM,IRAK1,-0.224840754082923,3.35326017587011,0.121678321678101
ATM,IRAK2,-0.0477154735982029,-0.0181931838753826,1
ATM,IRAK3,0.258551556807059,3.67238942155223,0.105755395683256
ATM,IRAK4,0.0111794857366272,0.0158341899710877,0.92494845360726
ATM,ITK,-0.0483407000772229,0.0714774267148641,0.85257510729519
ATM,JAK1,0.162203766000046,2.22495234150495,0.223219814241128
ATM,JAK2,0.0233701584993135,0.114595015271902,0.814912280700829
ATM,JAK3,0.218766651770001,2.2657486328219,0.217080745341266
ATM,KALRN,-0.374529552837073,9.8174773297136,0.00598802395207724
ATM,KDR,-0.269367241324409,1.85639443992432,0.278106508875313
ATM,KIT,-0.0332700881869286,-0.0741674999703719,1
ATM,KSR1,-0.379958681455782,6.9074785427382,0.0180094786729416
ATM,KSR2,-0.323190153603602,4.91815545751661,0.0545081967211958
ATM,LATS1,0.320240367553305,3.14034812811394,0.13617747440249
ATM,LATS2,0.141823988916921,0.466390278467884,0.613493975902849
ATM,LCK,-0.167448140291618,1.42245370022852,0.341712707181832
ATM,LIMK1,-0.484538666907712,17.6016330723816,0.000192678227360308
ATM,LIMK2,-0.505607239837774,11.453763459189,0.00133333333332873
ATM,LMTK2,-0.259071498839058,5.48622327662076,0.0387931034481893
ATM,LMTK3,-0.671007047027091,25.8019122712991,0.000192678227360308
ATM,LRRK1,-0.521070372757695,12.3539363526104,0.00147058823528852
ATM,LRRK2,-0.277687407841545,7.92330837724603,0.0117948717948405
ATM,LTK,-0.0336213577056627,-0.0128831268913245,1
ATM,LYN,-0.251645317035924,3.18707697641901,0.134707903779829
ATM,MAK,0.196513592910178,2.00423513909357,0.253453453453059
ATM,MAP2K1,-0.0711450974227902,0.112970101880819,0.815536105031898
ATM,MAP2K2,-0.0680139130312101,0.554208194635635,0.585111662530265
ATM,MAP2K3,0.0311130667019947,0.110112494386271,0.815720524016545
ATM,MAP2K4,0.126182590424483,1.03461351547662,0.427659574467496
ATM,MAP2K5,-0.00870326993032735,0.0238896350182358,0.912943632566862
ATM,MAP2K6,-0.145890463861007,0.998772780189938,0.437566137565538
ATM,MAP2K7,0.132050539905809,1.3259707487789,0.360109289616977
